Updated 07/11/25 at 03:32pm,Position Rank,Position,Team,Value,Age,Rookie,1QBPosition Rank,1QBValue,RdrftPosition Rank,RdrftValue
Tank Bigsby,RB40,RB,JAC,2813,23.9,No,RB40,3533,,0
2027 Late 2nd,,PI,,2810,,,,3394,,0
Rashid Shaheed,WR60,WR,NOS,2804,26.9,No,WR58,3537,,0
Xavier Legette,WR61,WR,CAR,2801,24.4,No,WR62,3420,,0
Najee Harris,RB41,RB,LAC,2800,27.3,No,RB41,3515,,0
Jaylen Wright,RB42,RB,MIA,2771,22.3,No,RB43,3478,,0
Braelon Allen,RB43,RB,NYJ,2768,21.5,No,RB42,3484,,0
Cooper Kupp,WR62,WR,SEA,2767,32.1,No,WR64,3357,,0
Rashod Bateman,WR63,WR,BAL,2763,25.6,No,WR60,3446,,0
Jaydon Blue,RB44,RB,DAL,2738,21.5,Yes,RB44,3428,,0
Cedric Tillman,WR64,WR,CLE,2737.99,25.2,No,WR63,3380,,0
Ja'Tavion Sanders,TE26,TE,CAR,2725.97,22.3,No,TE26,3153.87,,0
J.K. Dobbins,RB45,RB,DEN,2712,26.6,No,RB48,3302,,0
Dylan Sampson,RB46,RB,CLE,2698,20.8,Yes,RB46,3324,,0
Javonte Williams,RB47,RB,DAL,2694,25.2,No,RB45,3360,,0
Ray Davis,RB48,RB,BUF,2683,25.7,No,RB49,3296,,0
Isaac Guerendo,RB49,RB,SFO,2671,25.0,No,RB47,3311,,0
Pat Freiermuth,TE27,TE,PIT,2669.77,26.7,No,TE27,3018.47,,0
Daniel Jones,QB32,QB,IND,2663,28.1,No,QB33,1997,,0
Adonai Mitchell,WR65,WR,IND,2634,22.8,No,WR65,3226,,0
Rhamondre Stevenson,RB50,RB,NEP,2588,27.4,No,RB50,3138,,0
Rachaad White,RB51,RB,TBB,2565,26.5,No,RB51,3137,,0
Pat Bryant,WR66,WR,DEN,2550,22.6,Yes,WR67,3095,,0
Jalen Coker,WR67,WR,CAR,2526,23.7,No,WR66,3112,,0
Shedeur Sanders,QB33,QB,CLE,2523,23.4,Yes,QB31,2391,,0
Jarquez Hunter,RB52,RB,LAR,2496,22.5,Yes,RB55,2973,,0
Tyler Allgeier,RB53,RB,ATL,2483,25.2,No,RB53,3016,,0
Chigoziem Okonkwo,TE28,TE,TEN,2480.8,25.8,No,TE29,2842.7,,0
Cole Kmet,TE29,TE,CHI,2470.85,26.3,No,TE30,2801.95,,0
2025 Early 3rd,,PI,,2468,,,,2993,,0
Theo Johnson,TE30,TE,NYG,2448.27,24.4,No,TE28,2873.97,,0
Romeo Doubs,WR68,WR,GBP,2448,25.2,No,WR68,2974,,0
DJ Giddens,RB54,RB,IND,2440,21.9,Yes,RB52,3021,,0
Jalen Royals,WR69,WR,KCC,2436,22.4,Yes,WR69,2956,,0
Jonathon Brooks,RB55,RB,CAR,2434,22.0,No,RB56,2906,,0
Wan'Dale Robinson,WR70,WR,NYG,2425,24.5,No,WR71,2851,,0
Devin Neal,RB56,RB,NOS,2413,21.9,Yes,RB54,2998,,0
Tank Dell,WR71,WR,HOU,2406,25.7,No,WR70,2871,,0
MarShawn Lloyd,RB57,RB,GBP,2387,24.5,No,RB58,2836,,0
Trevor Etienne,RB58,RB,CAR,2382,21.0,Yes,RB57,2870.99,,0
Blake Corum,RB59,RB,LAR,2373,24.6,No,RB59,2822,,0
2025 Mid 3rd,,PI,,2355,,,,2744,,0
Christian Kirk,WR72,WR,HOU,2354,28.6,No,WR75,2776,,0
Demario Douglas,WR73,WR,NEP,2353,24.6,No,WR73,2821.99,,0
2026 Early 3rd,,PI,,2351,,,,2721,,0
Quentin Johnston,WR74,WR,LAC,2350,23.8,No,WR72,2841,,0
Michael Mayer,TE31,TE,LVR,2341.85,24.0,No,TE33,2625.65,,0
Roschon Johnson,RB60,RB,CHI,2336,24.4,No,RB60,2755,,0
Hunter Henry,TE32,TE,NEP,2332.48,30.6,No,TE35,2600.88,,0
Mike Gesicki,TE33,TE,CIN,2325.83,29.8,No,TE34,2607.43,,0
Marquise Brown,WR75,WR,KCC,2309,28.1,No,WR74,2790,,0
Luke Musgrave,TE34,TE,GBP,2302.1,24.8,No,TE36,2577.1,,0
Jordan James,RB61,RB,SFO,2294,21.3,Yes,RB62,2701,,0
Oronde Gadsden,TE35,TE,LAC,2292.68,22.0,Yes,TE31,2677.68,,0
Dalton Schultz,TE36,TE,HOU,2286.6,29.0,No,TE32,2630.9,,0
Noah Gray,TE37,TE,KCC,2282.73,26.2,No,TE37,2578.63,,0
Brashard Smith,RB62,RB,KCC,2280,22.2,Yes,RB61,2710,,0
Elic Ayomanor,WR76,WR,TEN,2256,22.1,Yes,WR76,2766,,0
Christian Watson,WR77,WR,GBP,2232,26.2,No,WR78,2606,,0
2027 Early 3rd,,PI,,2224,,,,2615,,0
Roman Wilson,WR78,WR,PIT,2191,24.1,No,WR79,2596,,0
Troy Franklin,WR79,WR,DEN,2173,22.4,No,WR77,2683,,0
Dontayvion Wicks,WR80,WR,GBP,2157,24.1,No,WR82,2535,,0
2026 Mid 3rd,,PI,,2142,,,,2476,,0
Alec Pierce,WR81,WR,IND,2121,25.2,No,WR80,2566,,0
Rico Dowdle,RB63,RB,CAR,2116,27.1,No,RB64,2502,,0
Zach Ertz,TE38,TE,WAS,2113.88,34.7,No,TE38,2348.18,,0
2025 Late 3rd,,PI,,2113,,,,2508,,0
Ollie Gordon,RB64,RB,MIA,2111,21.5,Yes,RB63,2614.99,,0
Isaac TeSlaa,WR82,WR,DET,2107,23.4,Yes,WR81,2552,,0
2027 Mid 3rd,,PI,,2093,,,,2352,,0
Joe Milton,QB34,QB,DAL,2064,25.4,No,QB34,1930,,0
Gunnar Helm,TE39,TE,TEN,2051.46,22.8,Yes,TE39,2271.46,,0
Tahj Brooks,RB65,RB,CIN,2037,23.2,Yes,RB65,2409,,0
